Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	28398.19727	6009.034928	14.38363636	13.58	0.001
1	65095.44463	8938.090601	14.3	17.44	0.001
2	96151.98749	7489.230035	18.04363636	26.64	0.001
3	80754.37979	8285.502471	26.46909091	34.88	0.001
4	89167.94337	6459.61071	35.77090909	36.76	0.001
5	69677.87291	5678.559379	38.01454545	39.42	0.001
6	62524.93031	7229.639864	40.29090909	47.9	0.001
7	78844.58701	3383.676557	48.43272727	40.64	0.001
8	37210.96796	7864.938682	40.14545455	53.12	0.001
9	86286.55486	1977.413366	52.74727273	49.92	0.001
10	20916.20902	7444.127489	50.12181818	59.42	0.001
11	82241.34225	1424.0658	59.23090909	54.84	0.001
12	15027.60069	6367.136186	54.97272727	60.94	0.001
13	69773.5448	1456.319139	61.20363636	57.26	0.001
14	15461.67175	5423.97492	56.72727273	60.86	0.001
15	59122.39473	2558.711339	61.19636364	59.44	0.001
16	27926.52969	4710.182523	58.29272727	61.14	0.001
17	50877.72347	3127.40433	61.54909091	55.26	0.001
18	35552.11716	6138.895651	53.99272727	63.14	0.001
19	66907.57871	1205.84574	63.26363636	64.08	0.001
20	12687.26061	6538.975734	63.44181818	65.84	0.001
21	71747.45067	1031.794326	65.46909091	65.06	0.001
22	10740.88616	6923.615662	65.19454545	63.62	0.001
23	76321.08537	1243.337028	63.08727273	64.2	0.001
24	12858.65674	6904.878706	64.26909091	67.76	0.001
25	76035.58438	986.7753645	67.57818182	66.16	0.001
26	10174.91039	7468.342708	65.91818182	60.24	0.001
27	82128.30035	1404.12914	60.27636364	66.2	0.001
28	14569.9784	8306.213634	65.84545455	66.38	0.001
29	91229.15025	1086.112172	66.65636364	67.16	0.001
30	11190.25632	8428.940524	67.21636364	59.58	0.001
31	92755.40891	1473.393474	59.71272727	67.98	0.001
32	15302.13773	9155.040569	67.46909091	64.46	0.001
33	100602.2732	1225.747765	64.67272727	68.82	0.001
34	12618.79638	9034.428049	68.52727273	62.02	0.001
35	99409.96669	1408.291537	62.64363636	69.3	0.001
36	14560.43868	9648.805674	68.71818182	63.76	0.001
37	106023.3653	1429.357189	63.97272727	69.24	0.001
38	14843.14896	9582.300002	69.02909091	63.46	0.001
39	105221.9509	1433.302643	63.63636364	69.84	0.001
40	14854.09925	9875.012975	69.39818182	63.44	0.001
41	108571.4049	1587.518013	63.46727273	69.7	0.001
42	16568.61262	9563.365654	69.36909091	64.42	0.001
43	105013.6446	1483.146606	64.46727273	70.28	0.001
44	15517.32925	9916.296072	69.72181818	62.4	0.001
45	109528.0032	1871.801411	61.86727273	70.2	0.001
46	19778.03375	10259.12948	69.61454545	63.48	0.001
47	113188.5131	1652.132565	63.40909091	71.24	0.001
48	17358.89266	9570.197844	71.04727273	63.74	0.001
49	105831.0351	1788.2085	63.61454545	71.1	0.001
50	18835.60737	10525.67525	70.90363636	62.5	0.001
51	115877.0104	1877.988109	62.52363636	71.66	0.001
52	19873.13394	10503.34582	71.35636364	61.8	0.001
53	115827.5179	1965.929904	61.66909091	71.12	0.001
54	20885.50837	10540.14458	70.90181818	62.26	0.001
55	116125.2197	1944.884602	62.24545455	71.72	0.001
56	20750.34848	9991.946242	71.65454545	63.24	0.001
57	110673.2418	2296.185811	62.86363636	71.08	0.001
58	24713.0214	10386.4344	71.05272727	63.98	0.001
59	115265.397	2054.441364	63.51818182	72.56	0.001
60	22080.55378	6862.281444	72.32	69.52	0.001
61	77460.98524	2563.134881	69.21454545	72.06	0.001
62	27717.84066	7584.447897	72.04363636	64.62	0.001
63	85823.57023	3012.924746	63.69636364	71.4	0.001
64	33187.51996	10776.35237	71.56727273	51.76	0.001
65	118359.8227	2867.423076	51.85636364	72.36	0.001
66	31810.92107	10794.76445	71.44181818	53.98	0.001
67	117464.9364	2791.911163	54.67454545	71.38	0.001
68	30893.43852	11677.32473	71.06	52.92	0.001
69	127390.3686	2346.967097	53.61636364	73.2	0.001
70	25539.59423	11822.10597	73.3	62.58	0.001
71	131022.5703	2247.937381	62.25636364	73.26	0.001
72	24406.47025	6774.842756	72.90363636	68.5	0.001
73	76808.29358	2356.367652	67.63090909	74.44	0.001
74	25577.27642	8064.98386	73.98545455	66.62	0.001
75	91087.73613	2427.11487	66.29272727	74.82	0.001
76	26492.74855	9581.922264	74.4	64.9	0.001
77	107407.4209	2388.454995	64.59636364	74.68	0.001
78	26076.24381	11400.02626	74.3	61.34	0.001
79	126432.4828	2195.443452	60.76545455	74.92	0.001
80	23896.51873	9826.52168	74.38727273	67.74	0.001
81	109613.024	2183.512399	67.10727273	74.1	0.001
82	23778.87181	7283.875065	74.43090909	71.8	0.001
83	82231.40868	2512.110099	71.18363636	72.84	0.001
84	27555.13676	5307.281573	73.06181818	69.28	0.001
85	60520.92676	3871.100047	68.20363636	72.3	0.001
86	42788.73881	6469.058434	72.40181818	63.9	0.001
87	72602.69361	2281.685843	63.46545455	72.16	0.001
88	25042.5509	11232.18112	72.15090909	55.4	0.001
89	123448.9853	2094.132236	55.16909091	73.82	0.001
90	22931.16634	11888.66359	72.97454545	58.58	0.001
91	130268.6202	2059.395284	58.61272727	74.76	0.001
92	22405.9445	10382.27826	73.94727273	61.8	0.001
93	114627.3917	2169.651244	61.97090909	74.66	0.001
94	23604.75435	7212.220855	74.58181818	73.32	0.001
95	81039.79373	2687.156818	72.93454545	73.06	0.001
96	29476.99555	3607.583264	72.44	74.3	0.001
97	41629.05403	4030.804804	73.29272727	72.04	0.001
98	44267.16751	4373.743102	72.29636364	70.32	0.001
99	49808.01595	2076.329512	69.28727273	75.44	0.001
100	22677.53328	10320.13773	75.10363636	60.36	0.001
101	114378.3325	1956.270181	60.63090909	76.12	0.001
102	21349.96911	11487.10015	75.45818182	61.66	0.001
103	127201.9046	2115.362774	61.65090909	75.46	0.001
104	23139.2416	11502.49095	75.08545455	63.04	0.001
105	127792.3218	2184.660761	62.7	75.96	0.001
