Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	16747.30055	1876.986884	19.11090909	21.72	0.001
1	20400.76427	2549.601608	22.32909091	22.32	0.001
2	27710.89254	3337.976315	22.49636364	25.6	0.001
3	36273.81081	3938.426785	26.54727273	30.04	0.001
4	42851.89776	4344.037107	30.56909091	35.32	0.001
5	47282.7489	4487.264145	36.06363636	39.68	0.001
6	48857.6962	4387.752607	40.47818182	44.76	0.001
7	47793.06594	4196.69138	45.15272727	49.54	0.001
8	45786.92774	3934.126511	49.41272727	52.2	0.001
9	42964.97783	3771.628605	52.08727273	57.38	0.001
10	41306.18991	3471.988624	56.9	54.46	0.001
11	38002.70075	3547.327659	54.39090909	62.74	0.001
12	39039.43986	3132.497761	61.72	56.04	0.001
13	34421.68906	3452.454896	56.06	64.7	0.001
14	38083.22847	2877.238174	63.85090909	59.54	0.001
15	31693.52944	3405.471086	59.02	65.24	0.001
16	37627.69268	2665.561983	64.74727273	63.18	0.001
17	29432.48786	3376.205073	62.48909091	64.96	0.001
18	37311.78637	2529.714301	64.50909091	65.82	0.001
19	28007.26342	3271.465443	65.18909091	65.26	0.001
20	36168.55223	2467.650951	64.93636364	67.16	0.001
21	27363.56344	3236.227672	66.52909091	65.64	0.001
22	35793.8163	2387.674438	65.50363636	68.72	0.001
23	26536.63483	3199.51609	67.94181818	65.76	0.001
24	35401.24514	2340.593934	65.64363636	69.42	0.001
25	26049.5311	3176.500116	68.68363636	66.06	0.001
26	35171.58432	2332.598119	65.99636364	70.04	0.001
27	25973.74345	3146.910539	69.16545455	66.64	0.001
28	34871.05903	2303.355964	66.84181818	70.94	0.001
29	25667.24225	3109.064764	70.06	67.34	0.001
30	34459.83331	2237.43084	67.59818182	71.88	0.001
31	24963.07896	3092.865873	70.87090909	67.9	0.001
32	34298.60031	2212.371145	68.08545455	72.38	0.001
33	24694.6492	3054.694919	71.37272727	68.28	0.001
34	33906.1346	2195.787203	68.53454545	72.38	0.001
35	24511.86601	3046.520278	71.58727273	68.8	0.001
36	33849.93782	2178.861083	69.04363636	72.6	0.001
37	24332.39846	3004.854886	72.14363636	69.18	0.001
38	33405.68823	2133.028234	69.57090909	72.9	0.001
39	23833.58679	3027.630488	72.39090909	69.58	0.001
40	33677.23429	2105.017692	70.10909091	73.38	0.001
41	23531.98826	3005.772488	73.05090909	70.28	0.001
42	33452.46439	2009.900346	70.76	73.5	0.001
43	22491.76581	3055.352185	73.45818182	71.02	0.001
44	34007.66636	1946.930316	71.33636364	74.54	0.001
45	21817.52105	3079.312666	74.37272727	70.7	0.001
46	34278.8823	1911.078169	70.80181818	74.94	0.001
47	21445.86008	2993.912882	74.79454545	69.82	0.001
48	33383.6264	1873.867764	69.90181818	75.1	0.001
49	21069.10525	3084.456791	75.13454545	70.98	0.001
50	34390.09068	1839.853617	70.94545455	75.26	0.001
51	20708.41431	3121.455721	75.20909091	70.64	0.001
52	34789.22774	1861.548677	70.59636364	75.68	0.001
53	20962.02948	3043.377257	75.57636364	70.76	0.001
54	33971.18518	1802.784234	70.40181818	75.82	0.001
55	20331.08478	3081.616733	75.72363636	70.54	0.001
56	34376.23721	1812.856843	70.51454545	76.12	0.001
57	20452.98762	3015.74837	75.89454545	70.8	0.001
58	33685.34325	1762.161161	70.67818182	76.24	0.001
59	19912.80482	3029.500642	75.95454545	71.18	0.001
60	33815.81552	1736.882435	71.10545455	76.5	0.001
61	19634.53743	2981.58831	76.31272727	72.16	0.001
62	33340.88929	1721.467106	72.25636364	76.56	0.001
63	19480.0361	2921.574178	76.33272727	72.58	0.001
64	32666.9514	1734.20528	72.70363636	76.82	0.001
65	19625.2629	2854.141283	76.56363636	73.24	0.001
66	31961.72051	1664.602011	73.30909091	76.94	0.001
67	18879.54388	2867.271393	76.50363636	73.72	0.001
68	32085.32356	1643.287614	73.98909091	76.98	0.001
69	18660.98325	2865.064032	76.72363636	73.92	0.001
70	32014.67254	1627.115759	73.92	76.8	0.001
71	18485.53897	2839.519649	76.78	74.18	0.001
72	31740.26522	1607.736805	74.04909091	76.86	0.001
73	18265.85925	2835.247106	77.00181818	74.02	0.001
74	31708.9848	1585.780643	74.1	76.8	0.001
75	18023.64514	2816.961445	77.08545455	74.02	0.001
76	31498.66484	1561.269461	73.92727273	77.46	0.001
77	17763.32284	2771.270637	77.21090909	72.24	0.001
78	30931.74171	1505.889059	72.62727273	77.66	0.001
79	17080.06311	2855.440873	77.61636364	72.62	0.001
80	31984.66575	1531.202024	72.71818182	77.64	0.001
81	17385.30689	2875.738349	77.67454545	72.86	0.001
82	32197.29368	1501.892091	72.82545455	77.72	0.001
83	17075.27489	2874.053471	77.69454545	73.18	0.001
84	32149.90152	1477.576891	73.22909091	77.7	0.001
85	16803.73145	2867.55232	77.78	73.14	0.001
86	32093.60542	1459.130665	73.11636364	77.86	0.001
87	16602.70128	2870.337258	77.87454545	73.34	0.001
88	32116.17317	1439.561424	73.50363636	77.96	0.001
89	16385.33048	2852.46032	77.95818182	73.52	0.001
90	31920.96263	1416.145474	73.53818182	77.88	0.001
91	16126.09876	2828.197967	78.11090909	74.02	0.001
92	31661.12253	1384.671168	74.08545455	78.12	0.001
93	15769.83791	2803.819071	78.20545455	74.38	0.001
94	31413.41039	1363.169446	74.54181818	78.12	0.001
95	15525.59585	2793.782604	78.26909091	74.34	0.001
96	31311.58636	1360.542063	74.6	78.16	0.001
97	15494.29328	2801.17183	78.28909091	74.28	0.001
98	31380.02468	1330.670789	74.33454545	78.2	0.001
99	15171.01806	2797.11199	78.33454545	74.4	0.001
100	31341.24027	1330.716809	74.39454545	78.48	0.001
101	15172.21577	2819.337877	78.45090909	74.46	0.001
102	31593.29872	1318.793248	74.48545455	78.48	0.001
103	15041.33718	2794.371301	78.47272727	74.52	0.001
104	31325.63715	1317.673791	74.64363636	78.6	0.001
105	15026.8409	2821.678941	78.63272727	74.58	0.001
106	31636.16143	1307.292554	74.62545455	78.7	0.001
107	14907.48788	2820.51023	78.65272727	74.44	0.001
108	31628.1328	1310.469979	74.46727273	78.7	0.001
109	14939.48394	2864.231063	78.71818182	74.3	0.001
110	32109.06012	1307.730502	74.31636364	78.92	0.001
111	14924.28211	2894.749318	78.8	73.9	0.001
112	32436.70842	1308.323894	74.00909091	78.94	0.001
113	14934.00177	2908.038869	78.85818182	74.18	0.001
114	32585.60138	1310.419207	74.20727273	78.88	0.001
115	14960.91895	2909.457998	78.89090909	74.04	0.001
116	32595.45693	1310.833233	74.10363636	79.12	0.001
117	14961.18549	2906.179291	78.93090909	74.12	0.001
118	32572.09149	1294.239016	74.23636364	79.14	0.001
119	14775.37594	2926.356868	78.96181818	74.14	0.001
120	32791.24322	1288.747034	74.18545455	79.06	0.001
121	14727.52632	2935.372822	79.09272727	74.4	0.001
122	32889.30317	1275.026193	74.30181818	79.14	0.001
123	14572.16501	2928.921489	79.12	74.42	0.001
124	32827.64053	1255.232822	74.48	79.34	0.001
125	14342.84919	2926.373169	79.2	74.62	0.001
126	32809.69525	1232.162814	74.74909091	79.5	0.001
127	14086.62153	2911.5876	79.24545455	74.72	0.001
128	32646.98667	1220.860812	74.90909091	79.52	0.001
129	13962.90958	2901.665782	79.25454545	74.98	0.001
130	32547.05101	1205.386547	75.11818182	79.52	0.001
131	13788.14745	2867.335739	79.29090909	75.14	0.001
132	32175.54274	1193.251359	75.32727273	79.58	0.001
133	13653.92156	2867.010911	79.34909091	75.12	0.001
134	32180.15958	1180.967723	75.50727273	79.64	0.001
135	13518.41857	2847.329684	79.36181818	75.44	0.001
136	31970.64616	1174.557408	75.65636364	79.68	0.001
137	13439.58405	2839.286507	79.36727273	75.66	0.001
138	31888.37313	1166.305842	75.78	79.64	0.001
139	13354.32671	2840.131574	79.38727273	75.72	0.001
140	31904.66785	1148.366886	75.92181818	79.8	0.001
141	13150.78258	2815.865673	79.39454545	75.78	0.001
142	31641.77643	1127.59349	76.11818182	79.74	0.001
143	12931.60994	2792.033975	79.44363636	75.92	0.001
144	31391.23824	1112.298247	76.27272727	79.8	0.001
145	12754.79019	2761.69526	79.47454545	76.14	0.001
146	31057.63311	1098.258186	76.41454545	79.7	0.001
147	12600.37536	2732.658657	79.49272727	76.28	0.001
148	30743.36484	1069.982074	76.57090909	79.82	0.001
149	12279.38422	2680.531253	79.51090909	76.68	0.001
150	30170.10249	1049.377257	76.87636364	79.66	0.001
151	12056.2737	2613.988489	79.52363636	77	0.001
152	29442.29166	1024.200134	77.24363636	79.86	0.001
153	11768.02137	2557.51072	79.50909091	77.24	0.001
154	28815.86535	1003.488851	77.56363636	79.7	0.001
155	11541.15718	2511.81648	79.57636364	77.34	0.001
156	28315.24689	977.9059473	77.79272727	79.82	0.001
157	11253.27582	2457.229557	79.55454545	77.5	0.001
158	27713.97026	959.8289626	77.91636364	79.7	0.001
159	11041.41087	2404.020781	79.59272727	77.78	0.001
160	27119.51761	925.6114063	78.16909091	79.92	0.001
161	10665.00325	2337.935968	79.60727273	78.04	0.001
162	26392.57129	910.487185	78.34363636	79.7	0.001
163	10481.23062	2303.670415	79.64363636	78.22	0.001
164	26007.63627	861.254153	78.54727273	80.06	0.001
165	9936.052869	2197.180714	79.64909091	78.52	0.001
166	24833.49128	841.5951759	78.75272727	79.94	0.001
167	9694.974131	2171.817127	79.65454545	78.5	0.001
168	24551.32466	803.7371182	78.94727273	79.94	0.001
169	9278.17602	2095.462281	79.71272727	78.68	0.001
170	23707.05496	791.040822	79.05454545	79.84	0.001
171	9119.315747	2045.801566	79.67454545	78.84	0.001
172	23148.47892	756.5725241	79.26181818	80.06	0.001
173	8730.035535	1990.179744	79.78181818	78.82	0.001
174	22521.64265	756.707136	79.30545455	80	0.001
175	8702.13564	1955.200569	79.67272727	79.16	0.001
176	22110.11016	733.7976676	79.66	80.2	0.001
177	8463.429462	1999.129921	79.95272727	78.76	0.001
178	22598.9063	755.1229158	79.32545455	79.88	0.001
179	8660.885142	1976.895534	79.58	79.3	0.001
180	22334.99367	719.3907234	79.7	80.2	0.001
181	8285.393419	1969.466478	80.02	78.92	0.001
182	22257.5511	733.8165706	79.52	79.86	0.001
183	8417.341956	1942.906017	79.57454545	79.36	0.001
184	21951.75126	721.1705492	79.74	80.28	0.001
185	8289.857458	1971.040731	80.03818182	79.34	0.001
186	22271.79299	713.6675567	79.80363636	80.14	0.001
187	8192.961081	1951.996361	79.82	79.26	0.001
188	22056.45935	709.6369249	79.74181818	80.12	0.001
189	8136.738545	1926.723621	79.72727273	79.4	0.001
190	21768.14312	692.2675326	79.78727273	80	0.001
191	7931.286694	1917.114407	79.78	79.4	0.001
192	21651.18609	700.3316678	79.83272727	80.32	0.001
193	8023.247389	1936.56566	79.91818182	79.74	0.001
194	21880.95228	697.0667496	80.06181818	80.36	0.001
195	7981.308463	1954.106749	79.94363636	79.22	0.001
196	22068.49404	690.665461	79.88545455	80.16	0.001
197	7900.193283	1910.33524	79.78	79.6	0.001
198	21578.20765	680.2008457	79.99636364	80.26	0.001
199	7778.791099	1908.162233	79.98181818	79.38	0.001
200	21555.14418	688.0969544	79.99272727	80.12	0.001
201	7856.526565	1885.590675	79.73636364	79.7	0.001
202	21301.43139	696.5362647	80.14909091	80.4	0.001
203	7954.360012	1984.149925	80.37272727	79.58	0.001
204	22390.04872	717.5855893	80.16909091	80.3	0.001
205	8185.431574	2005.771547	80.05272727	79.54	0.001
206	22635.03745	718.9803544	80.15818182	80.36	0.001
207	8209.705435	2014.408922	80.05636364	79.46	0.001
208	22736.23897	723.8515547	80.02727273	80.42	0.001
209	8248.209648	2011.374642	79.88909091	79.68	0.001
210	22695.89635	718.2609308	80.04727273	80.46	0.001
211	8190.31135	2012.810512	79.96181818	79.66	0.001
212	22713.00456	717.4802133	80.01818182	80.5	0.001
213	8174.842799	1996.583237	79.83090909	79.68	0.001
214	22531.70538	712.1868406	80.09454545	80.6	0.001
215	8118.066577	1997.538251	80.08909091	79.72	0.001
216	22541.51296	705.8396723	80.07090909	80.44	0.001
217	8040.217473	1969.368048	79.9	79.96	0.001
218	22228.87463	720.7927928	80.19454545	80.56	0.001
219	8199.985089	2050.415494	80.18	79.58	0.001
220	23111.68421	729.0987271	80.06727273	80.46	0.001
221	8289.580086	2062.505351	80.00363636	80	0.001
222	23254.42446	740.1952984	80.22545455	80.68	0.001
223	8429.203177	2135.589986	80.09636364	79.6	0.001
224	24072.18976	748.1265609	79.89454545	80.66	0.001
225	8514.201685	2156.625362	80.03090909	79.7	0.001
226	24310.24166	759.6583063	79.99454545	80.76	0.001
227	8646.590964	2202.126446	80.01818182	79.68	0.001
228	24816.082	770.5141469	79.89454545	80.64	0.001
229	8769.184322	2241.431815	80.03090909	79.78	0.001
230	25255.47848	781.071444	79.85272727	80.72	0.001
231	8888.857838	2275.3653	80.03818182	79.78	0.001
232	25635.15409	788.9831272	79.79272727	80.8	0.001
233	8980.048016	2308.20617	80.08545455	79.74	0.001
234	26002.25147	797.2639028	79.76363636	80.74	0.001
235	9073.459762	2337.495333	80.10727273	79.76	0.001
236	26328.08572	807.5901499	79.74727273	80.68	0.001
237	9188.649447	2370.754744	80.15272727	79.8	0.001
238	26697.41694	817.5077569	79.73818182	80.74	0.001
239	9303.009416	2408.299631	80.16909091	79.68	0.001
240	27119.12825	829.9691075	79.68181818	80.72	0.001
241	9445.385621	2450.014035	80.19454545	79.56	0.001
242	27586.04953	842.7884924	79.62363636	80.68	0.001
243	9590.284495	2491.664288	80.20909091	79.46	0.001
244	28053.14445	854.9541501	79.58181818	80.64	0.001
245	9729.15937	2538.488519	80.23636364	79.3	0.001
246	28573.35224	866.1547149	79.50545455	80.72	0.001
