Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	15845.11628	1543.965127	12.06909091	13.02	0.001
1	16966.89656	1658.326464	13.20727273	16.04	0.001
2	18175.6586	1779.850076	16.23272727	19.02	0.001
3	19465.83569	1899.755747	19.73090909	22.6	0.001
4	20742.04536	2010.63056	22.83636364	23.96	0.001
5	21932.39638	2123.580246	24.21454545	25.2	0.001
6	23154.22468	2244.919924	25.36181818	26.14	0.001
7	24471.76342	2375.653772	26.38363636	26.96	0.001
8	25890.5644	2506.331963	27.34909091	27.92	0.001
9	27306.71253	2642.353882	28.31636364	28.7	0.001
10	28780.42297	2789.876026	29.16363636	29.4	0.001
11	30378.26726	2950.736797	30.19090909	30.54	0.001
12	32120.90945	3123.053386	31.77454545	32.76	0.001
13	33987.51031	3296.779081	34.33090909	36.44	0.001
14	35878.45149	3486.875763	37.27272727	38.5	0.001
15	37939.10206	3655.933636	39.38363636	40.06	0.001
16	39774.36187	3819.849694	41.32363636	41.98	0.001
17	41555.33378	3974.943702	42.6	42.86	0.001
18	43243.20213	4131.155863	43.06727273	42.64	0.001
19	44940.15426	4272.556553	43.36545455	43.48	0.001
20	46473.96123	4392.24696	43.82181818	44.36	0.001
21	47777.11968	4499.227668	44.59272727	45.06	0.001
22	48941.28604	4557.190546	45.26909091	46.58	0.001
23	49583.04364	4586.506833	46.47090909	47.94	0.001
24	49918.58284	4595.89011	47.81090909	48.72	0.001
25	50028.54157	4573.850888	49.11818182	50.24	0.001
26	49800.85357	4544.349672	50.49090909	52.64	0.001
27	49493.3418	4480.800524	52.68545455	54	0.001
28	48817.38045	4436.769804	54.23272727	55.5	0.001
29	48345.53804	4317.944512	55.84363636	56.62	0.001
30	47063.81272	4343.754674	56.99454545	56.76	0.001
31	47351.34901	4144.76982	57.02545455	59.24	0.001
32	45212.58431	4262.443363	59.19272727	57.8	0.001
33	46510.96786	4022.77077	58.21090909	60.18	0.001
34	43932.36659	4158.272085	60.39090909	59.28	0.001
35	45409.84124	3907.526832	59.50727273	61.2	0.001
36	42727.6356	4026.810282	61.1	60.26	0.001
37	44014.20962	3810.644409	60.60727273	61.8	0.001
38	41718.01064	3904.883079	61.69454545	61.32	0.001
39	42721.21367	3716.196545	61.47272727	61.82	0.001
40	40728.33348	3787.593697	61.95272727	62.14	0.001
41	41464.48625	3638.748584	62.41636364	62.38	0.001
42	39924.67262	3667.830684	62.36545455	62.9	0.001
43	40166.84804	3559.539438	63.24909091	63.34	0.001
44	39084.67732	3573.356077	63.11636364	63.46	0.001
45	39157.1865	3441.112922	64.07272727	64.22	0.001
46	37811.79804	3468.938121	64.11272727	64.2	0.001
47	38043.42186	3251.220982	64.80727273	65.36	0.001
48	35767.54781	3450.128542	65.63090909	65.28	0.001
49	37881.24841	3092.315266	65.79818182	67.58	0.001
50	34066.51905	3368.631378	67.48363636	67.08	0.001
51	37047.39096	2938.054927	67.7	69.14	0.001
52	32419.13105	3237.76908	68.64727273	68.16	0.001
53	35669.33574	2826.49725	67.72545455	69.22	0.001
54	31217.32719	3074.793086	69.04727273	68.06	0.001
55	33932.16376	2767.686254	67.58363636	69.38	0.001
56	30575.84156	2958.749468	69.46727273	67.96	0.001
57	32717.61821	2733.44793	67.48727273	69.9	0.001
58	30204.27198	2783.00702	70.09818182	69.52	0.001
59	30800.64374	2720.928446	68.92727273	69	0.001
60	30029.73159	2608.826647	68.95454545	69.5	0.001
61	28913.2976	2752.726547	68.98	69.44	0.001
62	30377.06485	2423.543086	69.69818182	70.64	0.001
63	26863.38263	2793.877072	70.28	69.54	0.001
64	30820.44412	2295.373854	70.10909091	71.38	0.001
65	25439.82661	2813.085119	71.23818182	70.48	0.001
66	31043.76902	2255.262083	70.55454545	71.24	0.001
67	25011.85244	2727.566093	71.24545455	71.74	0.001
68	30151.55066	2273.08095	71.47454545	72.7	0.001
69	25218.30883	2675.506395	72.08	72.26	0.001
70	29609.32773	2224.218161	72.11818182	73.16	0.001
71	24705.74077	2683.009927	72.73454545	72.6	0.001
72	29695.10125	2161.5401	72.19636364	72.78	0.001
73	24027.85928	2654.935297	72.20181818	71.58	0.001
74	29392.58126	2093.189314	71.15454545	72.54	0.001
75	23285.24841	2627.449308	71.96363636	71.52	0.001
76	29096.52704	2051.460331	71.08909091	71.66	0.001
77	22828.5522	2571.729553	71.33454545	70.58	0.001
78	28486.35106	2051.870979	70.72	73.54	0.001
79	22835.92335	2571.127925	72.90545455	72.84	0.001
80	28478.40495	2014.526969	72.33272727	73.24	0.001
81	22431.62045	2506.636819	72.55272727	71.56	0.001
82	27774.68239	2005.564421	71.57818182	74.06	0.001
83	22335.87353	2472.784604	73.45636364	73.06	0.001
84	27401.63453	1988.986295	72.68363636	73.62	0.001
85	22151.57382	2460.932701	73.34363636	72.98	0.001
86	27273.94964	1967.552679	72.62181818	74.32	0.001
87	21926.00678	2431.832047	73.78363636	73.06	0.001
88	26950.93905	1942.819476	72.8	74.08	0.001
89	21650.72068	2410.817559	73.74909091	73.26	0.001
90	26718.76385	1942.290526	72.8	74.78	0.001
91	21644.63067	2398.188956	74.52	73.46	0.001
92	26586.31792	1925.395498	73.39636364	74.42	0.001
93	21458.4384	2374.847962	74.19818182	73.42	0.001
94	26335.05485	1921.35317	73.15272727	75.04	0.001
95	21414.92252	2384.526492	74.74727273	73.54	0.001
96	26449.82349	1892.340295	73.52545455	74.8	0.001
97	21104.0377	2362.680082	74.53272727	73.84	0.001
98	26203.80269	1856.320259	73.76181818	75.12	0.001
99	20708.41465	2318.808793	74.82545455	73.56	0.001
100	25725.4356	1904.529625	73.57636364	76.18	0.001
101	21242.9133	2349.819555	75.61636364	73.92	0.001
102	26072.54113	1854.646557	73.95090909	76.28	0.001
103	20692.84756	2331.169515	75.38545455	74.42	0.001
104	25872.23418	1822.296206	74.07818182	76.36	0.001
105	20334.7763	2293.081362	75.57454545	74.24	0.001
106	25457.50308	1826.20967	74.3	76.3	0.001
107	20385.68479	2291.343735	75.66545455	74.28	0.001
108	25438.67328	1816.037322	74.19272727	76.64	0.001
109	20274.58499	2258.231998	76.21090909	74.84	0.001
110	25081.66748	1819.329285	74.78545455	76.64	0.001
111	20316.0483	2256.096382	76.26363636	74.66	0.001
112	25054.73086	1828.37868	74.61090909	77	0.001
113	20416.35634	2240.008558	76.69272727	74.98	0.001
114	24878.04079	1819.46407	75.00363636	77.34	0.001
115	20322.65333	2210.455822	77.01090909	75.48	0.001
116	24565.19394	1774.495438	75.43272727	77.3	0.001
