Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	19444.57525	2163.87094	10.40545455	12.6	0.001
1	23558.2108	2683.001707	12.74545455	14.18	0.001
2	29205.91874	3289.587329	14.88909091	15.7	0.001
3	35787.1946	3847.422047	16.41090909	18.46	0.001
4	41875.8727	4209.385107	18.79454545	23.18	0.001
5	45832.68505	4273.158151	23.16727273	29.14	0.001
6	46537.55644	4130.055177	29.18	35.74	0.001
7	44995.33668	3897.581777	34.51636364	41.68	0.001
8	42472.49019	3646.371103	40.82727273	47.3	0.001
9	39755.83927	3405.76419	46.53454545	50.66	0.001
10	37162.56464	3200.624038	50.32545455	53.44	0.001
11	34965.3865	3013.532769	53.15818182	55.82	0.001
12	32966.96581	2885.404627	55.68363636	58.42	0.001
13	31607.23039	2722.720582	57.95636364	60.74	0.001
14	29866.81142	2716.581297	59.98	61.6	0.001
15	29837.45931	2477.103232	60.71454545	62.94	0.001
16	27225.16377	2699.577587	61.95090909	62.8	0.001
17	29735.43995	2395.160647	62.10727273	64.38	0.001
18	26351.67852	2607.701563	63.32363636	64.52	0.001
19	28788.84184	2326.19496	63.81818182	65.46	0.001
20	25629.6426	2530.412342	64.36909091	65.78	0.001
21	27985.4286	2266.669289	65.17454545	66.26	0.001
22	25005.54205	2470.417525	65.24363636	66.7	0.001
23	27364.3403	2218.373377	66.34727273	66.8	0.001
24	24495.55563	2428.665979	65.90545455	67.8	0.001
25	26929.30964	2172.375762	67.27636364	67.26	0.001
26	24009.39399	2392.096025	66.54545455	68.66	0.001
27	26546.75048	2126.673755	68.00909091	67.96	0.001
28	23523.07207	2358.232859	67.13636364	69.48	0.001
29	26192.41412	2086.437116	68.77818182	68.62	0.001
30	23094.92417	2332.210467	67.75636364	69.98	0.001
31	25919.22293	2050.156053	69.49090909	69.34	0.001
32	22710.48975	2306.893958	68.29272727	70.62	0.001
33	25655.36488	2019.729444	70.17454545	69.64	0.001
34	22388.4804	2279.911201	68.78909091	71.26	0.001
35	25370.84723	1996.12221	70.76909091	69.82	0.001
36	22139.96881	2244.047332	69.21090909	72.14	0.001
37	24990.69843	1976.754582	71.29636364	70.04	0.001
38	21940.01118	2221.144273	69.60181818	72.84	0.001
39	24749.70575	1939.740927	71.78363636	70.68	0.001
40	21542.0703	2195.425788	70.19818182	73.2	0.001
41	24474.26924	1912.884678	72.21636364	71.24	0.001
42	21253.60055	2175.460788	70.63818182	73.38	0.001
43	24259.88792	1877.178215	72.65272727	71.7	0.001
44	20868.39229	2142.411617	71.2	73.54	0.001
45	23903.34379	1864.520748	73.00363636	71.98	0.001
46	20732.87511	2127.547473	71.48727273	74.04	0.001
47	23744.00421	1825.455461	73.42181818	72.4	0.001
48	20309.82967	2094.35025	72.01454545	74.12	0.001
49	23385.36079	1812.377191	73.67454545	72.78	0.001
50	20167.5934	2080.137842	72.20545455	74.44	0.001
51	23231.34616	1776.095076	73.90545455	73.32	0.001
52	19775.71579	2052.526953	72.68181818	74.62	0.001
53	22932.78108	1764.119999	74.21090909	73.56	0.001
54	19643.06848	2028.596139	72.83636364	74.84	0.001
55	22674.95362	1738.899807	74.43090909	73.92	0.001
56	19367.89084	2010.293342	73.18181818	75.16	0.001
57	22475.5339	1726.36351	74.63272727	74.1	0.001
58	19227.10137	2002.927577	73.39272727	75.16	0.001
59	22390.84392	1705.49016	74.87636364	74.34	0.001
60	19000.84191	1989.843417	73.61090909	75.16	0.001
61	22248.47034	1676.867406	75.05090909	74.58	0.001
62	18690.88256	1971.568531	73.91272727	75.38	0.001
63	22046.95944	1653.141007	75.20727273	75.14	0.001
64	18427.97724	1982.012239	74.41272727	75.32	0.001
65	22155.47654	1624.325032	75.36909091	75.48	0.001
66	18113.01796	1964.735176	74.75090909	75.18	0.001
67	21965.27353	1622.478317	75.43454545	75.34	0.001
68	18084.58652	1951.924126	74.78181818	75.4	0.001
69	21824.74371	1612.759245	75.58545455	75.56	0.001
70	17978.18488	1941.177468	74.98	75.54	0.001
71	21705.39275	1598.254739	75.82545455	75.72	0.001
72	17821.84419	1903.17806	75.10727273	75.74	0.001
73	21294.94389	1592.055595	76.03818182	75.82	0.001
74	17756.28381	1884.221815	75.08363636	75.88	0.001
75	21093.06346	1599.856199	76.26727273	75.74	0.001
76	17834.85346	1894.286496	75.17090909	76.12	0.001
77	21193.46548	1604.250232	76.33818182	75.62	0.001
78	17888.06806	1842.171656	74.99636364	76.62	0.001
79	20649.09686	1614.445666	76.54909091	75.56	0.001
80	18008.89032	1793.239674	74.90545455	77.34	0.001
81	20130.75957	1583.581167	77.09454545	75.92	0.001
82	17695.84373	1815.732686	75.38727273	76.88	0.001
83	20370.66851	1606.13828	76.75818182	75.92	0.001
84	17928.56748	1797.24224	75.45818182	77.46	0.001
85	20175.13796	1586.424815	77.18545455	76.3	0.001
86	17726.6372	1827.128745	75.79272727	77.06	0.001
87	20501.91833	1579.691144	76.87272727	76.36	0.001
88	17652.95503	1773.809151	75.81272727	77.54	0.001
89	19936.26773	1570.187247	77.42363636	76.68	0.001
90	17557.59253	1808.199973	76.12727273	77.38	0.001
91	20308.08633	1590.78356	77.11272727	76.58	0.001
92	17773.66639	1784.777058	76.07454545	77.6	0.001
93	20055.53762	1569.866518	77.50727273	76.94	0.001
94	17555.44225	1765.168899	76.39636364	77.9	0.001
95	19855.92888	1558.103831	77.66181818	77.2	0.001
96	17430.12899	1789.577852	76.64	77.88	0.001
97	20111.85354	1548.615283	77.52	77.06	0.001
98	17327.23068	1741.119069	76.56363636	78.12	0.001
99	19586.01621	1545.099362	77.95090909	77.38	0.001
100	17292.2854	1784.062727	76.96909091	77.8	0.001
101	20048.90875	1542.881414	77.59818182	77.26	0.001
102	17260.37035	1748.378651	76.82	78.08	0.001
103	19668.28507	1535.789228	78.02	77.78	0.001
104	17191.23914	1778.824559	77.21272727	77.72	0.001
105	19992.88736	1556.869812	77.62	77.38	0.001
106	17411.91948	1748.768564	77.1	78.12	0.001
107	19661.58577	1532.072807	77.94363636	77.7	0.001
108	17151.13038	1789.912866	77.45090909	77.66	0.001
109	20102.88015	1537.463497	77.7	77.58	0.001
110	17196.98733	1749.31943	77.31454545	78.2	0.001
111	19665.21165	1519.295882	78.14	77.96	0.001
112	17007.99194	1788.180461	77.56727273	77.98	0.001
113	20079.19858	1518.330878	77.91090909	77.72	0.001
114	16990.24782	1731.359657	77.45454545	78.42	0.001
115	19477.09778	1512.58971	78.37818182	77.94	0.001
116	16932.60978	1771.614066	77.59272727	78.26	0.001
117	19893.79317	1492.64033	78.18727273	77.76	0.001
118	16707.83603	1786.630396	77.66909091	78.6	0.001
119	20050.01732	1490.129675	78.36909091	77.94	0.001
120	16683.63073	1774.189754	77.85272727	78.62	0.001
121	19920.17908	1488.628959	78.43454545	77.86	0.001
122	16663.11722	1721.909849	77.77818182	79.32	0.001
123	19363.69047	1476.308831	79.06181818	78.32	0.001
124	16536.03756	1773.174479	78.06363636	78.84	0.001
125	19905.52575	1460.053831	78.71090909	78.24	0.001
126	16353.36647	1803.80274	78.16363636	78.5	0.001
127	20228.3886	1453.909498	78.46909091	78.72	0.001
128	16287.35515	1808.932737	78.43090909	78.94	0.001
129	20303.05056	1414.421482	78.80909091	78.86	0.001
130	15848.74366	1871.308339	78.78181818	78.98	0.001
131	20977.66147	1273.358619	78.98545455	80	0.001
132	14327.6641	2105.196466	79.84545455	79.76	0.001
133	23519.40393	1213.933941	79.96	80.7	0.001
134	13677.78727	2177.371725	80.56	79.38	0.001
135	24305.44407	1227.307203	79.75454545	80.58	0.001
136	13805.06635	2199.647951	80.42	79.4	0.001
137	24557.3031	1243.893878	79.76363636	80.66	0.001
138	13987.48157	2243.808232	80.56	79.48	0.001
139	25023.54484	1270.011765	79.71636364	80.66	0.001
140	14272.59166	2265.404586	80.51818182	79.44	0.001
141	25262.18088	1288.449215	79.67090909	80.38	0.001
142	14473.75107	2273.939053	80.51272727	79.6	0.001
143	25359.02652	1297.52902	79.78727273	80.64	0.001
144	14578.08226	2289.99556	80.58181818	79.42	0.001
145	25525.52489	1306.310672	79.66181818	80.58	0.001
146	14674.10312	2267.339074	80.56909091	79.7	0.001
147	25295.05772	1299.273028	79.89636364	80.74	0.001
148	14605.54062	2285.369824	80.7	79.28	0.001
149	25464.14677	1305.911281	79.58363636	80.82	0.001
150	14671.67136	2276.7685	80.72909091	79.66	0.001
151	25396.82599	1304.401258	79.83636364	80.98	0.001
152	14666.14692	2207.092453	80.78909091	79.08	0.001
153	24594.42066	1260.780919	79.60363636	81.14	0.001
154	14161.30558	2228.510703	81.07272727	79.88	0.001
155	24879.08798	1250.815315	79.96909091	80.88	0.001
156	14068.31558	2228.168784	80.71090909	79.72	0.001
157	24857.67264	1263.2981	79.94909091	80.98	0.001
158	14199.09113	2259.525564	80.86727273	79.78	0.001
159	25211.01892	1282.687115	79.97818182	81.06	0.001
160	14423.20269	2242.481186	80.84	79.8	0.001
161	25014.84168	1272.520477	80.01090909	81.04	0.001
162	14308.50878	2276.942713	80.97454545	79.86	0.001
163	25400.38649	1289.244827	79.92181818	81.1	0.001
164	14500.4729	2171.577429	80.90363636	79.36	0.001
165	24220.53426	1232.053988	79.95454545	81.2	0.001
166	13851.99257	2233.833095	81.24181818	79.38	0.001
167	24900.55587	1253.841965	79.75090909	80.84	0.001
168	14098.40987	2221.973089	80.99272727	79.98	0.001
169	24798.21363	1235.614553	80.18909091	81.1	0.001
170	13901.85193	2241.404899	80.93454545	80.16	0.001
171	25020.50835	1257.130745	80.18909091	81.2	0.001
172	14147.37265	2268.180842	81.11454545	79.92	0.001
173	25289.87361	1273.407694	80.08363636	81.2	0.001
174	14322.65107	2222.539527	81.04181818	80.02	0.001
175	24805.0974	1252.822268	80.21454545	81.24	0.001
176	14100.08382	2300.338647	81.21636364	79.7	0.001
177	25634.8487	1282.620376	79.96181818	81.2	0.001
178	14426.76554	2057.457935	81.13636364	80.44	0.001
179	23014.81782	1177.858885	80.70181818	81.58	0.001
180	13263.45332	2226.804153	81.53818182	79.74	0.001
181	24811.01475	1215.318572	80.07636364	81.44	0.001
182	13675.9422	2236.350674	81.31818182	80.02	0.001
183	24934.23601	1230.564771	80.07818182	81.26	0.001
184	13849.08878	2247.826953	81.30727273	79.92	0.001
185	25066.32065	1234.413161	80.18363636	81.16	0.001
186	13895.16914	2216.701669	81.32727273	79.82	0.001
187	24710.25143	1220.384042	79.89272727	81.2	0.001
188	13733.78099	2263.887649	81.29636364	79.9	0.001
189	25226.29546	1239.340675	80.19090909	81.28	0.001
190	13943.90996	2240.487244	81.30909091	80.24	0.001
191	24983.85652	1239.040693	80.34545455	81.42	0.001
192	13943.49261	2279.982203	81.41818182	79.78	0.001
193	25404.69825	1255.094473	80.17636364	81.34	0.001
194	14121.92033	2156.58264	81.38363636	79.7	0.001
195	24033.64704	1194.051492	80.28909091	81.72	0.001
196	13429.10104	2214.573114	81.65636364	79.9	0.001
197	24677.3067	1199.674757	80.16363636	81.42	0.001
198	13497.45214	2219.157701	81.48	80.16	0.001
199	24743.84983	1194.889352	80.47454545	81.38	0.001
200	13446.14594	2232.525152	81.41090909	80.46	0.001
201	24895.09609	1206.486426	80.50545455	81.58	0.001
202	13579.49605	2262.667455	81.57272727	80.02	0.001
203	25200.45727	1227.709677	80.22545455	81.5	0.001
204	13809.8889	2227.820735	81.5	80.44	0.001
205	24845.06429	1219.231613	80.48909091	81.66	0.001
206	13727.71197	2276.048208	81.65636364	79.92	0.001
207	25340.78505	1234.959578	80.24181818	81.62	0.001
208	13896.51121	2230.039729	81.58909091	80.34	0.001
209	24861.03763	1216.471478	80.45454545	81.64	0.001
210	13701.34179	2278.792936	81.69454545	79.94	0.001
211	25373.10593	1231.390446	80.25090909	81.66	0.001
212	13865.53004	2237.863583	81.67272727	80	0.001
213	24927.42248	1215.17824	80.35636364	81.68	0.001
214	13684.42902	2279.248386	81.74363636	80.02	0.001
215	25382.66998	1227.446603	80.32545455	81.66	0.001
216	13821.79091	2225.602487	81.69818182	80.36	0.001
217	24803.37469	1206.804163	80.50727273	81.76	0.001
218	13595.56936	2269.165018	81.80181818	79.94	0.001
219	25269.04101	1217.73116	80.34727273	81.76	0.001
220	13718.95337	2244.299907	81.77818182	80.04	0.001
221	24989.68832	1207.942774	80.36909091	81.76	0.001
222	13606.5148	2268.465123	81.8	79.92	0.001
223	25261.23409	1213.886584	80.38727273	81.86	0.001
224	13672.9937	2246.42717	81.78545455	80.16	0.001
225	25023.30402	1205.617622	80.46909091	81.9	0.001
226	13580.5271	2260.877429	81.83090909	80.02	0.001
227	25179.2476	1209.014241	80.42181818	81.84	0.001
228	13620.40799	2243.924959	81.81818182	80.12	0.001
229	24979.55534	1197.795458	80.49272727	81.88	0.001
230	13488.28467	2257.492491	81.85454545	80.12	0.001
231	25140.46954	1203.241577	80.44363636	81.92	0.001
232	13553.08064	2242.682649	81.84363636	80.24	0.001
233	24971.3925	1194.443361	80.52545455	81.96	0.001
234	13450.49666	2249.090675	81.86181818	80.26	0.001
235	25047.25418	1196.356743	80.52909091	81.94	0.001
236	13475.53038	2243.194345	81.87636364	80.28	0.001
237	24973.54981	1189.866329	80.53636364	81.9	0.001
238	13398.60204	2240.931979	81.88727273	80.32	0.001
239	24955.09518	1188.981198	80.57090909	81.9	0.001
240	13391.6756	2240.058844	81.90545455	80.34	0.001
241	24939.70824	1185.673035	80.55636364	82.02	0.001
242	13352.28803	2233.644192	81.90727273	80.38	0.001
243	24873.12537	1183.443332	80.62181818	82	0.001
244	13328.03972	2230.095836	81.91818182	80.42	0.001
245	24830.96491	1180.273962	80.63818182	82.02	0.001
246	13291.22761	2222.329951	81.94181818	80.46	0.001
247	24746.57988	1177.001819	80.66	82	0.001
248	13254.29829	2219.214555	81.94363636	80.42	0.001
249	24710.61921	1173.26757	80.65818182	81.96	0.001
250	13211.18553	2214.127008	81.95090909	80.38	0.001
251	24654.4467	1169.089376	80.68909091	81.94	0.001
252	13164.17611	2209.180536	81.96363636	80.38	0.001
253	24598.66727	1166.807169	80.67090909	81.96	0.001
254	13137.46149	2202.175793	81.93272727	80.46	0.001
255	24522.77017	1164.635662	80.70545455	82	0.001
256	13112.34122	2190.743254	81.95636364	80.52	0.001
257	24397.29282	1162.881869	80.73818182	81.98	0.001
258	13090.9223	2173.673698	81.94909091	80.66	0.001
259	24213.48553	1160.234033	80.76	81.96	0.001
260	13061.5566	2165.497153	81.95272727	80.64	0.001
261	24121.71381	1154.981482	80.76363636	82	0.001
262	13003.54019	2165.099646	81.97636364	80.68	0.001
263	24115.00801	1149.553247	80.74363636	82.02	0.001
264	12942.98089	2160.573739	81.97454545	80.64	0.001
265	24064.74853	1146.019463	80.71272727	82	0.001
266	12905.25914	2156.862656	81.97272727	80.62	0.001
267	24019.23716	1142.451343	80.67454545	82.02	0.001
268	12864.4486	2150.63771	81.98909091	80.66	0.001
269	23951.57715	1136.822881	80.67818182	82	0.001
270	12801.78438	2145.960198	81.97818182	80.58	0.001
271	23895.5027	1130.782849	80.67454545	81.96	0.001
272	12732.55467	2137.465013	81.97818182	80.64	0.001
273	23803.41941	1125.718998	80.70727273	81.98	0.001
274	12675.93041	2131.209666	81.98	80.58	0.001
275	23732.0829	1119.445586	80.71636364	81.98	0.001
276	12604.80891	2124.52918	81.98545455	80.62	0.001
277	23658.73422	1113.204696	80.73636364	81.98	0.001
278	12535.45357	2119.425563	82.00545455	80.6	0.001
279	23599.54198	1106.52492	80.71090909	82	0.001
280	12460.09439	2112.059907	82.02181818	80.64	0.001
281	23519.03799	1100.707863	80.71636364	82	0.001
282	12395.22044	2104.17817	82.00181818	80.64	0.001
283	23432.01143	1095.260781	80.73272727	82	0.001
284	12334.2662	2094.735304	81.98545455	80.7	0.001
285	23328.32342	1089.041335	80.74	81.96	0.001
286	12264.13197	2086.452112	81.99818182	80.7	0.001
287	23237.61328	1090.824537	80.76727273	81.9	0.001
288	12272.38722	2094.301238	81.95454545	80.62	0.001
289	23312.1567	1082.592283	80.74909091	81.96	0.001
290	12183.63378	2073.425325	81.94363636	80.68	0.001
291	23085.75371	1075.530315	80.77454545	82.02	0.001
292	12104.69531	2061.672637	81.92	80.66	0.001
293	22957.20751	1069.155216	80.76727273	81.98	0.001
294	12034.83329	2054.185589	81.93090909	80.62	0.001
295	22874.59276	1061.880542	80.74181818	82.02	0.001
296	11953.8429	2046.378979	81.93454545	80.64	0.001
297	22787.77066	1056.025907	80.74363636	81.94	0.001
298	11888.53946	2039.479464	81.94363636	80.62	0.001
299	22711.25184	1050.174745	80.74181818	81.92	0.001
300	11822.96837	2030.656667	81.92909091	80.58	0.001
301	22614.18487	1052.82608	80.74727273	81.94	0.001
302	11842.2194	2037.219046	81.91636364	80.66	0.001
303	22675.70585	1039.479364	80.74545455	81.92	0.001
304	11696.57116	2016.483316	81.90545455	80.62	0.001
305	22449.73379	1031.118732	80.73454545	81.82	0.001
306	11603.09528	2003.49653	81.87818182	80.56	0.001
307	22305.77269	1024.407177	80.72	81.84	0.001
308	11529.69077	1993.548251	81.88727273	80.54	0.001
309	22196.02696	1016.110237	80.69636364	81.8	0.001
310	11437.76011	1983.848766	81.89090909	80.56	0.001
311	22088.82858	1006.981338	80.71090909	81.8	0.001
312	11336.50396	1972.730343	81.86727273	80.62	0.001
313	21965.29344	1006.452653	80.71454545	81.84	0.001
314	11320.68793	1976.414305	81.85636364	80.46	0.001
315	21997.8923	987.6555929	80.71636364	81.84	0.001
316	11114.81107	1954.844056	81.84545455	80.38	0.001
317	21759.40752	979.6777801	80.66727273	81.9	0.001
318	11027.5247	1941.034176	81.86181818	80.38	0.001
319	21607.08838	973.4498009	80.69636364	82.02	0.001
320	10961.65416	1932.348984	81.87818182	80.44	0.001
321	21512.68789	964.3408031	80.66727273	81.92	0.001
322	10860.50521	1920.816561	81.87454545	80.46	0.001
323	21385.98824	954.0026746	80.7	82.02	0.001
324	10747.90727	1910.340002	81.90363636	80.42	0.001
325	21270.57712	949.3736621	80.67818182	81.94	0.001
326	10686.84678	1909.57523	81.88909091	80.3	0.001
327	21251.15806	926.7228498	80.62727273	81.94	0.001
328	10437.45695	1886.437805	81.89090909	80.22	0.001
329	20993.37645	915.6330993	80.62	81.88	0.001
330	10316.74387	1868.085913	81.9	80.24	0.001
331	20793.0189	908.9577317	80.63454545	81.92	0.001
332	10244.51033	1857.799275	81.91636364	80.3	0.001
333	20677.02188	896.5769519	80.62	81.86	0.001
334	10105.99931	1841.699449	81.91636364	80.28	0.001
335	20498.16135	884.675773	80.62545455	81.9	0.001
336	9973.221512	1828.680981	81.93454545	80.2	0.001
337	20350.76139	871.3982947	80.61272727	81.9	0.001
338	9824.516061	1814.961643	81.91090909	80.16	0.001
339	20196.15384	864.6826816	80.61272727	81.74	0.001
340	9735.886173	1810.325575	81.87454545	80.1	0.001
341	20129.00558	843.2473769	80.50727273	81.72	0.001
342	9497.984518	1776.210273	81.84363636	80.02	0.001
343	19750.91108	863.0017239	80.52909091	82.12	0.001
344	9725.295291	1812.091313	82.12181818	80.54	0.001
345	20154.25311	848.1637539	80.84363636	81.88	0.001
346	9554.280641	1795.312625	81.95272727	80.16	0.001
347	19958.47435	831.3996605	80.60545455	81.78	0.001
348	9364.847078	1761.218367	81.81454545	80.16	0.001
