Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	13818.50437	1326.983381	6.725454545	7.8	0.001
1	14627.6333	1416.350488	7.694545455	10.06	0.001
2	15596.41494	1518.746117	10.08363636	12.18	0.001
3	16704.81776	1630.905858	12.24545455	13.26	0.001
4	17918.29478	1751.655549	13.56	14.94	0.001
5	19227.442	1889.637643	15.38181818	16.4	0.001
6	20724.30858	2043.277256	17.07818182	17.5	0.001
7	22393.20765	2206.190694	18.25090909	18.06	0.001
8	24164.35639	2377.690471	18.84181818	18.3	0.001
9	26031.59922	2550.699907	19.19272727	17.94	0.001
10	27914.39139	2732.133841	19.15272727	18.26	0.001
11	29889.73675	2924.03172	19.01636364	19.32	0.001
12	31982.52234	3133.935823	20.07818182	22.28	0.001
13	34273.23432	3372.596974	22.60181818	25.06	0.001
14	36873.77351	3629.01105	25.50363636	26.44	0.001
15	39669.13873	3907.419502	27.07090909	26.8	0.001
16	42693.65897	4207.259449	27.38727273	27.26	0.001
17	45944.03596	4524.318952	27.79818182	26.74	0.001
18	49373.61709	4835.564293	27.43272727	26.76	0.001
19	52745.99687	5103.780103	27.47454545	27.32	0.001
20	55654.05905	5349.954255	27.75636364	26.42	0.001
21	58315.50806	5555.690875	27.02	26.5	0.001
22	60545.68837	5731.533913	26.72909091	27.04	0.001
23	62444.2026	5884.932652	27.79272727	29.24	0.001
24	64102.46805	5999.529769	30.04363636	30.68	0.001
25	65352.42815	6083.163997	31.96545455	31.34	0.001
26	66260.29504	6119.683561	32.66727273	30.62	0.001
27	66655.61171	6127.533985	32.34545455	30.94	0.001
28	66748.34967	6118.353197	32.36	31.36	0.001
29	66651.39436	6086.390148	33.13090909	32.24	0.001
30	66308.6253	6060.235018	33.94727273	33.04	0.001
31	66035.65456	6034.106475	34.42363636	33.22	0.001
32	65762.12684	6007.304804	34.97636364	34.14	0.001
33	65482.6177	5978.29528	35.61090909	35.14	0.001
34	65172.47296	5934.249737	36.44727273	37.14	0.001
35	64714.90039	5883.119742	37.95818182	37.58	0.001
36	64163.80133	5818.827207	38.26909091	39.18	0.001
37	63497.16344	5760.221397	39.59454545	38.8	0.001
38	62855.98548	5672.645284	39.28181818	39.34	0.001
39	61944.83175	5632.306062	39.62181818	39.14	0.001
40	61488.19859	5479.983637	39.80363636	39.78	0.001
41	59895.82026	5529.981435	39.91090909	40.6	0.001
42	60376.94252	5354.565573	40.81818182	40.98	0.001
43	58544.80192	5415.372764	41.15272727	41.52	0.001
44	59134.86909	5238.960252	41.66545455	42.08	0.001
45	57301.84529	5323.644138	42.36363636	42.54	0.001
46	58139.76974	5117.81538	42.46909091	43.46	0.001
47	56000.29862	5206.849328	43.84181818	43.78	0.001
48	56875.81996	4941.989891	43.69454545	45.74	0.001
49	54109.00172	5068.301048	45.90727273	45.78	0.001
50	55385.32569	4793.247387	45.71454545	48.72	0.001
51	52500.7841	4928.25064	48.50727273	48.74	0.001
52	53877.39683	4656.201015	48.47454545	51.76	0.001
53	51023.18375	4772.980521	51.63454545	51.32	0.001
54	52204.69063	4496.846418	51.22727273	54.88	0.001
55	49310.74231	4634.647952	54.48545455	54.08	0.001
56	50709.33861	4323.325468	53.87090909	56.68	0.001
57	47447.37335	4501.91016	56.46	56.28	0.001
58	49283.71565	4174.148126	55.90727273	57.94	0.001
59	45834.95542	4368.252982	57.79818182	57.9	0.001
60	47862.59766	4017.40602	57.70363636	59.16	0.001
61	44160.99821	4258.463827	58.94363636	59.42	0.001
62	46697.27094	3905.868343	59.38363636	60.02	0.001
63	42965.24246	4173.969996	59.93454545	60.56	0.001
64	45794.05562	3796.186568	60.85272727	60.68	0.001
65	41790.61717	4069.275406	60.47818182	62.62	0.001
66	44673.35657	3709.94932	62.68363636	61.72	0.001
67	40869.69787	3971.048089	61.62545455	62.88	0.001
68	43633.68062	3640.301339	63.10363636	62.22	0.001
69	40134.86988	3877.000294	62.19454545	63.44	0.001
70	42655.15601	3556.946024	63.73090909	62.4	0.001
71	39233.28948	3807.883941	62.47090909	63.88	0.001
72	41912.99415	3411.706623	63.96545455	63.5	0.001
73	37677.7676	3775.998947	63.68181818	62.92	0.001
74	41565.18725	3277.40464	63.31090909	65.4	0.001
75	36244.17248	3662.073271	65.34909091	63.2	0.001
76	40338.73136	3216.966497	63.07818182	65.48	0.001
77	35587.53224	3589.425992	65.67454545	62.4	0.001
78	39586.55121	3221.548134	62.35636364	65.36	0.001
79	35640.40569	3389.962614	65.59818182	62.2	0.001
80	37470.54825	3247.365572	62.24727273	65.1	0.001
81	35922.09152	3105.837748	65.40727273	62.38	0.001
82	34380.94313	3209.393979	62.39636364	64.64	0.001
83	35520.20818	3010.664374	64.71818182	63.7	0.001
84	33373.63917	3161.817524	63.99636364	65.08	0.001
85	35008.2062	2872.463305	65.27090909	65.64	0.001
86	31908.94566	3125.218059	65.87636364	65.12	0.001
87	34610.79368	2695.65164	65.32363636	67.24	0.001
88	30009.70195	3182.665741	67.10545455	65.34	0.001
89	35241.26541	2580.485963	65.61818182	68.52	0.001
90	28772.87089	3122.646528	68.38727273	65.88	0.001
91	34598.19428	2534.249877	66.02909091	68.76	0.001
92	28281.76263	3076.636727	68.87454545	65.66	0.001
93	34121.36539	2517.042915	65.94181818	68.94	0.001
94	28083.37314	2947.45812	68.88727273	66.36	0.001
95	32736.96848	2524.338533	66.29454545	69.16	0.001
96	28151.31464	2833.669471	69.16	66.96	0.001
97	31508.52541	2605.530762	66.86909091	68.88	0.001
98	29071.17873	2684.325561	68.81454545	67.36	0.001
99	29885.96306	2656.153665	67.20545455	69.3	0.001
100	29612.39161	2490.955706	68.87454545	69.04	0.001
101	27815.46147	2804.889987	68.64727273	68.86	0.001
102	31210.24013	2275.894248	69.00727273	70.56	0.001
103	25490.91328	2877.228196	70.42545455	68.18	0.001
104	31982.00905	2230.586301	68.71818182	71.12	0.001
